01/17/2019,Quinta,5ª-feira da 1ª Semana Do Tempo Comum,"Santo Antão, abade",Branco,,,,,,,,C,,,"1ª Leitura - Hb 3,7-14  / Salmo - Sl 94, 6-7. 8-9. 10-11 (R. 8)  / Evangelho - Mc 1,40-45"
01/18/2019,Sexta,6ª-feira da 1ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Hb 4,1-5.11  / Salmo - Sl 77, 3.4bc. 6c-7. 8 (R. Cf. 7c)  / Evangelho - Mc 2,1-12"
01/19/2019,Sábado,Sábado da 1ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Hb 4,12-16  / Salmo - Sl 18,8. 9. 10. 15 (R. Cf.Jo 6,63c)  / Evangelho - Mc 2,13-17"
01/20/2019,Domingo,2º Domingo Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Is 62,1-5  / Salmo - Sl 95,1-2a.2b-3.7-8a.9-10a.c (R. 1a.3b)  / 2ª Leitura - 1Cor 12,4-11  / Evangelho - Jo 2,1-11"
01/21/2019,Segunda,2ª-feira da 2ª Semana Do Tempo Comum,"Santa Inês, virgem e mártir",Vermelho,,,,,,,,C,,,"1ª Leitura - Hb 5,1-10  / Salmo - Sl 109,1. 2. 3. 4 (R. 4bc)  / Evangelho - Mc 2,18-22"
01/22/2019,Terça,3ª-feira da 2ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Hb 6,10-20  / Salmo - Sl 110, 1-2. 4-5. 9.10c (R. 5b)  / Evangelho - Mc 2,23-28"
01/23/2019,Quarta,4ª-feira da 2ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Hb 7,1-3.15-17  / Salmo - Sl 109,1. 2. 3. 4 (R. 4bc)  / Evangelho - Mc 3,1-6"
01/24/2019,Quinta,5ª-feira da 2ª Semana Do Tempo Comum,"São Francisco de Sales, bispo e doutor da Igreja",Branco,,,,,,,,C,,,"1ª Leitura - Hb 7,25 - 8,6  / Salmo - Sl 39, 7-8a. 8b-9. 10. 17 (R. Cf. 8a.9a)  / Evangelho - Mc 3,7-12"
01/25/2019,Sexta,6ª-feira da 2ª Semana Do Tempo Comum,"Conversão de São Paulo, Apóstolo ",Branco,,,X,,,,,C,"Cf. Jo 15,16","Eu vos designei, para que vades e deis frutos, e o vosso fruto permaneça, assim disse o Senhor.","1ª Leitura - At 22,3-16  / 1ª Leitura - At 9,1-22  / Salmo - Sl 116(117),1-2 (R. Mc 16,15)  / Evangelho - Mc 16,15-18"
01/26/2019,Sábado,Sábado da 2ª Semana Do Tempo Comum,"São Timóteo e São Tito, bispos",Branco,,,,,X,,,C,"Lc 4,18",O Espírito do Senhor repousa sobre mim e enviou-me a anunciar aos pobres o Evangelho.,"1ª Leitura - 2Tm 1,1-8  / 1ª Leitura - Tt 1,1-5  / Salmo - Sl 95(96),1-2a.2b-3.7-8a.10 (R. 3)  / Evangelho - Lc 10,1-9"
01/27/2019,Domingo,3º Domingo Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Ne 8,2-4a.5-6.8-10  / Salmo - Sl 18,8.9.10.15 (R. Jo 6,63c)  / 2ª Leitura - 1Cor 12,12-30  / 2ª Leitura - 1Cor 12,12-14.27  / Evangelho - Lc 1,1-4;4,14-21"
01/28/2019,Segunda,2ª-feira da 3ª Semana Do Tempo Comum,"Santo Tomás de Aquino, presbítero e doutor da Igreja",Branco,,,,,,,,C,,,"1ª Leitura - Hb 9,15.24-28  / Salmo - Sl 97,1. 2-3ab. 3cd-4. 5-6 (R.1a)  / Evangelho - Mc 3,22-30"
01/29/2019,Terça,3ª-feira da 3ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Hb 10,1-10  / Salmo - Sl 39, 2.4ab. 7-8a. 10. 11 (R. Cf. 8a.9a)  / Evangelho - Mc 3,31-35"
01/30/2019,Quarta,4ª-feira da 3ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Hb 10,11-18  / Salmo - Sl 109,1. 2. 3. 4 (R. 4bc)  / Evangelho - Mc 4,1-20"
